kernel,n,comp,block_size,run,kernel_time,total_time
a,262144,1,32,10,0.000136,0.149892
a,524288,1,32,1,0.000184,0.157403
a,524288,1,32,2,0.000163,0.165585
a,524288,1,32,3,0.000162,0.157231
a,524288,1,32,4,0.000161,0.169645
a,524288,1,32,5,0.000201,0.158884
a,524288,1,32,6,0.000158,0.173
a,524288,1,32,7,0.000161,0.169412
a,524288,1,32,8,0.000163,0.168109
a,524288,1,32,9,0.000159,0.15744
a,524288,1,32,10,0.00016,0.157225
a,1048576,1,32,1,0.000214,0.189175
a,1048576,1,32,2,0.000202,0.178435
a,1048576,1,32,3,0.000203,0.184554
a,1048576,1,32,4,0.000197,0.177142
a,1048576,1,32,5,0.000206,0.184882
a,1048576,1,32,6,0.000204,0.182984
a,1048576,1,32,7,0.000202,0.188409
a,1048576,1,32,8,0.000212,0.185189
a,1048576,1,32,9,0.000205,0.180833
a,1048576,1,32,10,0.000204,0.188808
a,2097152,1,32,1,0.000269,0.21625
a,2097152,1,32,2,0.00027,0.223586
a,2097152,1,32,3,0.000262,0.215786
a,2097152,1,32,4,0.000267,0.224042
a,2097152,1,32,5,0.000276,0.217991
a,2097152,1,32,6,0.000271,0.217757
a,2097152,1,32,7,0.000286,0.226686
a,2097152,1,32,8,0.000384,0.228775
a,2097152,1,32,9,0.000282,0.229083
a,2097152,1,32,10,0.000275,0.22406
a,4194304,1,32,1,0.000399,0.301084
a,4194304,1,32,2,0.000397,0.302054
a,4194304,1,32,3,0.000397,0.303245
a,4194304,1,32,4,0.000455,0.303248
a,4194304,1,32,5,0.000445,0.321831
a,4194304,1,32,6,0.000443,0.326312
a,4194304,1,32,7,0.000446,0.32264
a,4194304,1,32,8,0.000437,0.313858
a,4194304,1,32,9,0.00042,0.300345
a,4194304,1,32,10,0.000427,0.310963
a,8388608,1,32,1,0.000651,0.514503
a,8388608,1,32,2,0.000655,0.469056
a,8388608,1,32,3,0.000657,0.472596
a,8388608,1,32,4,0.000728,0.476707
a,8388608,1,32,5,0.000731,0.473977
a,8388608,1,32,6,0.000747,0.479133
a,8388608,1,32,7,0.000719,0.483676
a,8388608,1,32,8,0.000671,0.467102
a,8388608,1,32,9,0.000675,0.466302
a,8388608,1,32,10,0.000678,0.466295
a,16777216,1,32,1,0.001292,0.790284
a,16777216,1,32,2,0.001286,0.792211
a,16777216,1,32,3,0.001301,0.785328
a,16777216,1,32,4,0.001301,0.791077
a,16777216,1,32,5,0.001291,0.791257
a,16777216,1,32,6,0.001293,0.797252
a,16777216,1,32,7,0.001303,0.789603
a,16777216,1,32,8,0.001293,0.792681
a,16777216,1,32,9,0.001292,0.790881
a,16777216,1,32,10,0.001284,0.790434
a,33554432,1,32,1,0.002386,1.417642
a,33554432,1,32,2,0.002398,1.452684
a,33554432,1,32,3,0.002396,1.419398
a,33554432,1,32,4,0.002398,1.42033
a,33554432,1,32,5,0.002392,1.415026
a,33554432,1,32,6,0.002401,1.415839
a,33554432,1,32,7,0.0024,1.430056
a,33554432,1,32,8,0.002385,1.431214
a,33554432,1,32,9,0.002382,1.46174
a,33554432,1,32,10,0.00239,1.415856
a,65536,1,64,1,0.000114,0.175197
a,65536,1,64,2,0.000112,0.144159
a,65536,1,64,3,0.000111,0.156764
a,65536,1,64,4,0.000119,0.143738
a,65536,1,64,5,0.000114,0.145731
a,65536,1,64,6,0.000113,0.140628
a,65536,1,64,7,0.000114,0.150535
a,65536,1,64,8,0.000128,0.1379
a,65536,1,64,9,0.000123,0.148433
a,65536,1,64,10,0.000111,0.146216
a,131072,1,64,1,0.000117,0.141251
a,131072,1,64,2,0.000139,0.147782
a,131072,1,64,3,0.000175,0.151596
a,131072,1,64,4,0.000118,0.150189
a,131072,1,64,5,0.00012,0.140922
a,131072,1,64,6,0.00012,0.151668
a,131072,1,64,7,0.000165,0.147612
a,131072,1,64,8,0.000131,0.147034
a,131072,1,64,9,0.000112,0.142008
a,131072,1,64,10,0.000128,0.15331
a,262144,1,64,1,0.00013,0.154726
a,262144,1,64,2,0.000127,0.151498
a,262144,1,64,3,0.000142,0.148424
a,262144,1,64,4,0.000128,0.156682
a,262144,1,64,5,0.00013,0.148017
a,262144,1,64,6,0.000128,0.150218
a,262144,1,64,7,0.000127,0.153217
a,262144,1,64,8,0.000122,0.152403
a,262144,1,64,9,0.000131,0.15437
a,262144,1,64,10,0.000128,0.151642
a,524288,1,64,1,0.000154,0.157086
a,524288,1,64,2,0.000146,0.165214
a,524288,1,64,3,0.000165,0.157111
a,524288,1,64,4,0.000184,0.165605
a,524288,1,64,5,0.000148,0.157253
a,524288,1,64,6,0.000153,0.170143
a,524288,1,64,7,0.000151,0.157934
a,524288,1,64,8,0.000154,0.170173
a,524288,1,64,9,0.000151,0.162856
a,524288,1,64,10,0.000147,0.160638
a,1048576,1,64,1,0.000189,0.191671
a,1048576,1,64,2,0.000183,0.189915
a,1048576,1,64,3,0.000185,0.189339
a,1048576,1,64,4,0.000189,0.183458
a,1048576,1,64,5,0.000181,0.179073
a,1048576,1,64,6,0.000184,0.187568
a,1048576,1,64,7,0.000183,0.178686
a,1048576,1,64,8,0.000181,0.177411
a,1048576,1,64,9,0.000179,0.18729
a,1048576,1,64,10,0.000183,0.17807
a,2097152,1,64,1,0.000241,0.228374
a,2097152,1,64,2,0.000246,0.216719
a,2097152,1,64,3,0.000347,0.228329
a,2097152,1,64,4,0.000258,0.220665
